0,ülejärgmisel,A,A,A
1,päeval,S,S,S
2,oli,V,V,V
3,õnn,S,S,S
4,ta,P,P,P
5,maha,D,D,D
6,jätnud,V,V,V
7,.,Z,Z,Z
8,ta,P,P,P
9,oli,V,V,V
10,sattunud,V,V,V
11,külla,S,S,S
12,",",Z,Z,Z
13,mis,P,P,P
14,varahommikul,S,S,S
15,sakslaste,S,S,S
16,poolt,K,K,K
17,ümber,D,D,D
18,piirati,S,S,V
19,.,Z,Z,Z
20,ta,P,P,P
21,oli,V,V,V
22,maganud,V,V,V
23,raskelt,D,D,D
24,ega,J,J,J
25,ärganud,V,V,V
26,enne,K,D,D
27,",",Z,Z,Z
28,kui,J,J,J
29,automaatidega,S,S,S
30,fritsud,S,S,A
31,uksel,S,S,S
32,seisid,V,V,V
33,.,Z,Z,Z
34,teda,P,P,P
35,peeti,V,V,V
36,üheks,P,N,P
37,neist,P,P,P
38,",",Z,Z,Z
39,kes,P,P,P
40,olid,V,V,V
41,öösi,S,S,A
42,sakslaste,S,S,S
43,sõjaväe,S,S,S
44,veoautosid,S,S,S
45,tulistanud,S,S,Z
46,ja,J,J,J
47,kümmekond,N,N,N
48,fritsu,S,S,Z
49,tapnud,V,V,V
50,.,Z,Z,Z
51,ta,P,P,P
52,peksti,V,V,V
53,armutult,D,D,D
54,läbi,D,K,D
55,",",Z,Z,Z
56,sakslased,S,S,S
57,olid,V,V,V
58,omavahel,D,D,D
59,vaielnud,V,V,V
60,",",Z,Z,Z
61,kas,D,D,D
62,teda,P,P,P
63,kohapeal,D,D,D
64,oksa,S,S,S
65,tõmmata,V,V,V
66,või,J,J,J
67,kingisseppa,S,S,P
68,viia,V,V,V
69,.,Z,Z,Z
70,nähtavasti,D,D,D
71,loodeti,V,V,V
72,talt,P,P,P
73,midagi,P,P,P
74,välja,D,D,D
75,pressida,V,V,V
76,",",Z,Z,Z
77,muidu,D,D,D
78,oleks,V,V,V
79,ta,P,P,P
80,otsekohe,D,D,D
81,vagaseks,A,A,A
82,tehtud,V,V,A
83,.,Z,Z,Z
84,kingissepas,S,S,P
85,oli,V,V,V
86,talle,P,P,P
87,meenunud,V,V,V
88,õpetaja,S,S,S
89,juhani,S,S,S
90,nõuanne,S,S,Z
91,ja,J,J,J
92,ta,P,P,P
93,ütles,V,V,V
94,",",Z,Z,Z
95,et,J,J,J
96,tuleb,V,V,V
97,eestist,S,S,S
98,",",Z,Z,Z
99,kuhu,D,D,D
100,teda,P,P,P
101,oli,V,V,V
102,1939.,N,N,N
103,aasta,S,S,S
104,lõpul,S,S,S
105,tööle,S,S,S
106,saadetud,A,V,V
107,.,Z,Z,Z
108,kingissepas,S,S,P
109,oli,V,V,V
110,teda,P,P,P
111,hoitud,V,V,A
112,nädal,S,S,S
113,aega,S,S,S
114,",",Z,Z,Z
115,iga,P,P,P
116,päev,S,S,S
117,oli,V,V,V
118,teda,P,P,P
119,uuesti,D,D,D
120,üle,K,D,D
121,kuulatud,A,A,A
122,ja,J,J,J
123,kahel,N,N,N
124,korral,S,K,S
125,jällegi,D,D,D
126,läbi,D,D,D
127,pekstud,V,V,V
128,.,Z,Z,Z
129,midagi,P,P,P
130,muud,P,P,P
131,ta,P,P,P
132,polnud,V,V,V
133,rääkinud,V,V,V
134,.,Z,Z,Z
135,raiunud,S,S,D
136,ikka,D,D,D
137,ühte,N,D,N
138,ja,J,J,J
139,sedasama,P,P,P
140,.,Z,Z,Z
141,kingissepast,S,S,P
142,saadeti,V,V,V
143,narva,S,S,S
144,",",Z,Z,Z
145,kus,D,D,D
146,paigutati,V,V,V
147,laagrisse,S,S,S
148,",",Z,Z,Z
149,mida,P,P,P
150,kutsuti,V,V,V
151,punasteks,S,S,Z
152,kasarmuteks,S,S,N
153,",",Z,Z,Z
154,kus,D,D,D
155,inimesi,S,S,S
156,suri,V,V,V
157,nagu,J,J,J
158,kärbseid,S,S,S
159,.,Z,Z,Z
160,koos,K,K,D
161,kolme,N,N,N
162,mehega,S,S,S
163,",",Z,Z,Z
164,kellest,P,P,P
165,üks,P,N,P
166,oli,V,V,V
167,olnud,V,V,V
168,laskurroodu,S,S,A
169,ülem,S,S,S
170,",",Z,Z,Z
171,teine,N,N,N
172,suurtükisihtur,S,S,Z
173,ja,J,J,J
174,kolmas,N,N,N
175,sapöör,S,S,N
176,",",Z,Z,Z
177,otsustasid,V,V,V
178,nad,P,P,P
179,põgeneda,V,V,V
180,",",Z,Z,Z
181,paraku,D,D,D
182,suri,V,V,V
183,roodukomandör,S,S,S
184,",",Z,Z,Z
185,äärmiselt,D,D,D
186,meelekindel,S,S,A
187,leitnant,S,S,S
188,pjotr,S,S,Z
189,fjodorovitš,S,S,N
190,",",Z,Z,Z
191,tüüfusesse,S,S,N
192,.,Z,Z,Z
193,sihturi,S,S,P
194,peksid,V,V,V
195,valvurid,S,S,S
196,asja,S,S,S
197,eest,K,K,K
198,teist,N,N,P
199,taga,K,K,K
200,vigaseks,A,A,A
201,",",Z,Z,Z
202,nad,P,P,P
203,vihkasid,V,V,V
204,seda,P,P,P
205,lõbusat,A,A,A
206,valgevenelast,S,S,S
207,",",Z,Z,Z
208,kes,P,P,P
209,pisut,D,D,D
210,saksa,S,S,G
211,keelt,S,S,S
212,tönkas,S,S,Z
213,ja,J,J,J
214,neid,P,P,P
215,pilgata,S,S,A
216,söandas,S,S,S
217,.,Z,Z,Z
218,põgeneda,V,V,V
219,õnnestus,V,V,V
220,tal,P,P,P
221,koos,K,K,K
222,ühe,N,N,N
223,sapööriga,S,S,Y
224,kaks,N,N,N
225,kuud,S,S,S
226,hiljem,D,D,D
227,",",Z,Z,Z
228,kui,J,J,J
229,sadakond,N,N,N
230,vangi,S,S,S
231,ootamatult,D,D,D
232,rivvi,S,S,A
233,käsutati,S,S,S
234,",",Z,Z,Z
235,senised,A,A,A
236,riided,S,S,S
237,vastikult,D,D,T
238,haisvate,S,S,T
239,triibuliste,S,S,T
240,vangikaltsude,S,S,T
241,vastu,K,K,K
242,vahetama,V,V,V
243,sunniti,V,V,V
244,",",Z,Z,Z
245,valvurite,S,S,S
246,vahel,K,K,K
247,jaama,S,S,S
248,viidi,V,V,V
249,ja,J,J,J
250,ühte,N,N,N
251,kaubavagunisse,S,S,Y
252,kiiluti,S,S,N
253,.,Z,Z,Z
254,nad,P,P,P
255,hüppasid,V,V,V
256,välja,D,D,D
257,täiskiirusega,S,S,N
258,kihutavast,S,S,Y
259,rongist,S,S,N
260,;,Z,Z,Z
261,sapöör,S,S,N
262,",",Z,Z,Z
263,vaevalt,D,D,D
264,paarikümneaastane,S,S,A
265,sergei,S,S,S
266,georgijevitš,S,S,K
267,",",Z,Z,Z
268,suurte,A,A,A
269,tumedate,A,A,A
270,põlevate,S,S,S
271,silmadega,S,S,S
272,kontkõhn,S,S,Z
273,poisivibalik,S,S,N
274,",",Z,Z,Z
275,kelle,P,P,P
276,energiat,S,S,S
277,nälg,S,S,S
278,ega,J,J,J
279,kurnavad,A,A,A
280,köhahood,S,S,S
281,polnud,V,V,V
282,suutnud,V,V,V
283,vähendada,V,V,V
284,",",Z,Z,Z
285,oli,V,V,V
286,avastanud,V,V,V
287,korraga,D,D,D
288,",",Z,Z,Z
289,et,J,J,J
290,vaguni,S,S,S
291,suur,A,A,A
292,lükanduks,S,S,S
293,andis,V,V,V
